day,num,sell_won,sell,get_1,num_1,sim_1,sim_2
2002-12-07,1,3681782000,1840891,0,0,0,0
2002-12-14,2,4904274000,2452137,2002006800,1,0,0
2002-12-21,3,4729342000,2364671,2000000000,1,0,1
2002-12-28,4,5271464000,2635732,0,0,0,0
2003-01-04,5,6277102000,3138551,0,0,0,0
2003-01-11,6,15305356000,7652678,6574451700,1,0,0
2003-01-18,7,12794890000,6397445,0,0,0,0
2003-01-25,8,20751450000,10375725,0,0,1,1
2003-02-01,9,73624020000,36812010,0,0,2,6
2003-02-08,10,260856392000,130428196,6430437900,13,18,13
2003-02-15,11,91925306000,45962653,4780152300,5,4,4
2003-02-22,12,76255508000,38127754,1348845700,12,5,8
2003-03-01,13,66532136000,33266068,0,0,8,7
2003-03-08,14,99838648000,49919324,9375048300,4,7,5
2003-03-15,15,73264910000,36632455,17014245000,1,8,5
2003-03-22,16,75777348000,37888674,4377146100,4,2,7
2003-03-29,17,72718152000,36359076,5349491200,3,6,4
2003-04-05,18,66371660000,33185830,0,0,4,0
2003-04-12,19,105957818000,52978909,40722959400,1,8,4
2003-04-19,20,81056776000,40528388,19352212800,1,10,6
2003-04-26,21,84247142000,42123571,797475400,23,5,2
2003-05-03,22,79455152000,39727576,4552194900,4,6,6
2003-05-10,23,77374256000,38687128,4317947700,4,1,3
2003-05-17,24,78486634000,39243317,0,0,7,2
2003-05-24,25,120073768000,60036884,24227745300,2,8,12
2003-05-31,26,80193026000,40096513,3495069900,5,5,5
2003-06-07,27,76145050000,38072525,9543982500,2,3,4
2003-06-14,28,75448366000,37724183,1700361100,10,4,4
2003-06-21,29,74523120000,37261560,3552594000,5,7,6
2003-06-28,30,72399690000,36199845,8728555500,2,3,3
2003-07-05,31,71317306000,35658653,8106672900,2,4,5
2003-07-12,32,71179198000,35589599,1634528300,10,7,4
2003-07-19,33,67457252000,33728626,14903517600,1,2,5
2003-07-26,34,69389894000,34694947,3056918000,5,2,3
2003-08-02,35,66143062000,33071531,5054598200,3,7,3
2003-08-09,36,66856686000,33428343,16014475800,1,4,3
2003-08-16,37,65509794000,32754897,4985999400,3,7,2
2003-08-23,38,67369284000,33684642,5374866400,3,4,3
2003-08-30,39,66094476000,33047238,2623748800,6,4,4
2003-09-06,40,65699086000,32849543,1147652400,13,7,2
2003-09-13,41,57624562000,28812281,0,0,6,3
2003-09-20,42,119909740000,59954870,6899280100,6,6,5
2003-09-27,43,74686296000,37343148,17749630800,1,6,2
2003-10-04,44,69956950000,34978475,3362155800,5,0,4
2003-10-11,45,71216232000,35608116,8356417800,2,4,4
2003-10-18,46,68181568000,34090784,5327758800,3,3,6
2003-10-25,47,67756694000,33878347,3250042400,5,4,2
2003-11-01,48,65806832000,32903416,2415673600,6,4,4
2003-11-08,49,64501142000,32250571,1967504600,7,3,5
2003-11-15,50,65563234000,32781617,5227061400,3,5,6
2003-11-22,51,62553680000,31276840,2421117000,6,2,8
